kuczynski | Thoughts have content; their content determines what they are about | Intentionality
kuczynski | How you respond to "what is 1+1?" depends on knowing English; the disposition alone doesn't constitute knowledge | Critique of Behaviorism
kuczynski | Functionalism identifies mental states with their causal roles; but phenomenal states are what they feel like | Critique of Functionalism
kuczynski | No two people's beliefs that 1+1=2 have exactly the same causal roles, yet they have the same content | Content vs Causal Role
kuczynski | If functionalism is right, the fact that you believe water quenches thirst cannot cause you to drink water | Functionalism and Causation
kuczynski | Cause and effect must be distinct; if x causes y, then x is not identical with y | Causation Requires Distinctness
kuczynski | Functionalism makes mental states causally epiphenomenal, which contradicts obvious facts | Critique of Functionalism
kuczynski | Given the arguments, materialism is probably correct but psychological truths resist reduction to physical truths | Position on Mind-Body Problem
kuczynski | Computers manipulate representations; those representations have meaning only through our interpretive practices | Computers and Meaning
kuczynski | The Chinese Room argument shows that symbol manipulation isn't sufficient for understanding | Chinese Room
kuczynski | Syntax is not sufficient for semantics; formal symbol manipulation doesn't constitute thought | Syntax vs Semantics
kuczynski | Puddles don't defy prediction, but predictions about them have limited scope and low quality | Prediction and Non-Things
kuczynski | With bona fide things, limited knowledge of state at one time yields high-probability predictions about distant times | Things as Prediction Enablers
kuczynski | Given pregnant mother who consumes alcohol, we can predict the child will be damaged 50 years hence | Prediction and Persistence
kuczynski | Knowledge of thinghood underlies all physical labor and manufacturing | Practical Importance of Thinghood
kuczynski | Brick houses are more thingy than clouds; thinghood is a matter of degree | Degrees of Thinghood
kuczynski | Non-solid things like stars can be as thingy as rocks if they have dynamic integrity | Thinghood Not Solidity
kuczynski | To creatures whose minds moved millions of times more slowly, rocks would be as unthing-like as gusts of air are to us | Relative Thinghood
kuczynski | Things are not created by our explanations; a system of events can be thing-like in some contexts and not others | Thinghood and Context
kuczynski | An object ceases to exist when the causal series constituting it is severed | Persistence and Causal Series
kuczynski | If your car is vaporized, an exact duplicate is not numerically identical with it | Identity and Causal Continuity
kuczynski | "Smith disappears in 2009 and reappears in 2023" collapses into "Smith is annihilated and a Smith-like entity appears" | Impossibility of Discontinuous Time Travel
kuczynski | Time-travel questions are questions of logic, not empirical fact | Logical Nature of Time Travel Questions
kuczynski | Each of the supposed forms of time travel is logically false | Impossibility of Time Travel
kuczynski | Propositional attitudes never appear in consciousness in propria persona; what appears are representatives or derivatives | Attitudes and Consciousness
kuczynski | We are given evidences of our propositional attitudes, which may be dispersed over time and contexts | Indirect Access to Attitudes
kuczynski | When the attitude is emotionally sterile, we have no trouble making the needed judgments about it | Emotion and Self-Knowledge
kuczynski | The judgments we make about our own mental states are often quite wrong | Fallibility of Self-Knowledge
kuczynski | Knowing that one feels a certain way involves making a judgment about one's mental state | Self-Knowledge as Judgment
kuczynski | Having a propositional attitude is distinct from knowing that one has it | Having vs Knowing One Has
kuczynski | Repression1 is failure to perform operations by which one customarily generates beliefs | Repression as Omission
kuczynski | Repression1 involves choosing not to learn something traumatic, not actively suppressing known content | Nature of Repression
kuczynski | The conventional conception of repression (CCR) wrongly says the patient knowingly drives content into unconsciousness | Critique of CCR
kuczynski | CCR is paradoxical: to keep P out of consciousness, patient must know what P is, making P conscious | Paradox of CCR
kuczynski | Repression involves choosing not to verify suspicions, like a detective who doesn't want to confirm his best friend is a murderer | Analogy for Repression
kuczynski | The conflict in repression is between wishing to know the truth and wishing not to know it | Nature of Repression Conflict
kuczynski | Freud's great insight was that we have thoughts we don't want ourselves to know | Freud's Key Insight
kuczynski | The sociopath doesn't lack moral sense; he systematically misidentifies his motives | Sociopathy Analyzed
kuczynski | The sociopath creates a false narrative about himself and confuses it with reality | Self-Deception in Sociopathy
kuczynski | The psychopath is like someone who never developed a self or whose self was liquefied | Psychopathy Analyzed
kuczynski | A self is an integrated and relatively stable core of personality | Definition of Self
kuczynski | Evil differs from sociopathy and psychopathy; one can be evil while knowing what one is | Evil vs Mental Illness
kuczynski | A reaction is a desire directly converted into behavior; an action involves inhibition and scrutiny | Actions vs Reactions
kuczynski | Even "impulsive" behaviors typically involve an initial inhibition that is then lifted | Impulsivity Analyzed
kuczynski | "Carefully considered" does not mean "slowly considered"; decisions can be made virtually instantaneously | Speed of Decision
kuczynski | We'd be buoyed hither and thither by desires if Davidson were right; we'd be mere puppets of impulse | Critique of Davidson
kuczynski | Our overt behavior would not be actions at all if desires directly resulted in behavior | Nature of Action
kuczynski | We make plans and tend to stick with them despite conflicting desires | Planning and Agency
kuczynski | Desires that fuel plans are not raw instinctual ones but desires incorporating values and previous decisions | Transformed Desires
kuczynski | Values are judgments about how to extend the hegemony of self over sub-agential mental activity | Values as Judgments
kuczynski | Intrinsic strength of desire differs from organization-dependent strength | Types of Desire Strength
kuczynski | A desire not embedded in one's psychological organization is less likely to lead to action than an embedded weak one | Organization and Action
kuczynski | Behaviors directly resulting from desires are reactions like a tiger pouncing, not human actions | Tiger Analogy
kuczynski | The addict's behavior, though seemingly impulsive, involves a decision to lift an initial inhibition | Addiction and Decision
kuczynski | EE (ethical egoism) doesn't require people to diminish themselves, unlike other ethical theories | Virtue of EE
kuczynski | An ethical theory that diminishes its followers is itself evil and therefore incoherent | Self-Undermining Ethics
kuczynski | It's psychologically impossible to unremittingly comply with ethical theories other than EE | Psychological Limits of Ethics
kuczynski | EE says "do what you want" where wanting is authentic and doesn't diminish who you are | Content of EE
kuczynski | Not everybody always wants to be a predator; kindness and altruism usually have endogenous roots | Nature of Human Motivation
kuczynski | People who follow other ethical theories to the letter are damaged; those who don't are hypocrites | Dilemma of Non-EE Ethics
kuczynski | People who rationalize their failure to follow their espoused ethics thereby sociopathize | Rationalization and Sociopathy
kuczynski | Nietzsche knew EE was not viable as a theory of how to treat others; he wanted people to be authentic | Interpretation of Nietzsche
kuczynski | Nietzsche said explicitly that ethical theories other than EE damage or fraudulentize their adherents | Nietzsche on Ethics
kuczynski | "Ought implies can": no obligation to do what one cannot do | Principle of Ought Implies Can
kuczynski | The categories through which we understand reality are: event, space, time, cause, persistence, thing, mind, perception, belief, knowledge, language, truth, value-judgment, law, justice | Fundamental Categories
kuczynski | Philosophy delineates the structures of these fundamental categories | Task of Philosophy
kuczynski | Philosophy is the discipline of meta-knowledge—knowing what we know | Philosophy as Meta-Knowledge
kuczynski | Analytic philosophy recognizes that logical form and grammatical form are different | Analytic Philosophy Defined
kuczynski | Pre-analytic philosophy mistakenly took itself to be studying the most general features of reality | Pre-Analytic Philosophy
kuczynski | Analytic philosophy studies possibility by analyzing statements; meaningful statements describe possible realities | Analytic Method
kuczynski | Any interest philosophers have in actuality is subordinate to interest in possibility | Priority of Possibility
kuczynski | Frege showed that philosophical problems often arise from confusing logical with grammatical form | Frege's Insight
kuczynski | Philosophical clarity comes from analysis of meanings, not from positing entities | Philosophical Method
kuczynski | The verificationist theory of meaning is false; meaningful sentences need not be verifiable | Critique of Verificationism
kuczynski | "Perfect unity" is undefined; statements containing undefined terms are meaningless | Meaninglessness of Undefined Terms
kuczynski | Any non-compound sentence either attributes a property to an individual or says items are interrelated | Forms of Non-Compound Sentences
kuczynski | All sentences can be recast in the form "x has phi" through appropriate analysis | Universal Sentence Form
kuczynski | Compound sentences attribute properties to propositions composing them | Analysis of Compound Sentences
kuczynski | Negative sentences attribute falsity to the propositions they negate | Analysis of Negation
kuczynski | Quantified generalizations state overlap relations between classes | Analysis of Quantification
kuczynski | A sentence is meaningful iff it attributes some property to some object | Criterion of Meaning
kuczynski | It's irrelevant to meaning whether the property attribution can be perceptually confirmed | Meaning vs Verification
kuczynski | The picture theory holds that sentences represent facts the way pictures do; this is false | Critique of Picture Theory
kuczynski | Sentences go through propositions to reach facts; pictures go straight to facts | Pictures vs Sentences
kuczynski | The relationship between sentences and facts has a conventional component that pictures lack | Convention in Language
kuczynski | So far as the English language is concerned, snow can be any color; semantic rules don't fix facts | Language and Reality
kuczynski | Semantic rules associate sentences with propositions, not directly with facts | Semantic Rules and Propositions
kuczynski | Sentences are digital structures with unique decomposition; pictures are analog and don't so decompose | Digital vs Analog
kuczynski | Any conventional assignment of meaning yields symbols with unique decomposition into discrete parts | Discreteness of Language
kuczynski | Even if images are used as symbols, they don't function as pictures insofar as they function linguistically | Images as Symbols
kuczynski | The picture theory is the antithesis of the truth about the relation between sentences and facts | Rejection of Picture Theory
kuczynski | Empiricism holds that all knowledge comes from sense-perception; this is false | Critique of Empiricism
kuczynski | The operation of negation can't be sense-perceived; nothing could physically resemble it | Non-Perceptual Operations
kuczynski | Any image contains information not contained in a proposition; no proposition is identical with any image | Propositions vs Images
kuczynski | Knowledge that the moon is not made of cheese involves non-perceptual knowledge | Non-Perceptual Knowledge
kuczynski | The rules for converting pictorial to non-pictorial information can't be learned perceptually | Non-Perceptual Rules
kuczynski | Uncorroborated testimony is not enough for knowledge; we must know our sources are reliable | Testimony and Knowledge
kuczynski | Our knowledge of legitimate inference rules cannot be strictly pictorial | Non-Pictorial Knowledge
kuczynski | Wittgenstein said we cannot describe the relationship between words and facts; if correct, this claim is self-undermining | Critique of Tractatus
kuczynski | What can be shown cannot be said, according to Wittgenstein; but this claim, if correct, says something | Paradox of Tractatus
kuczynski | A language is a set of semantic rules; semantic rules assign meanings to properties of physical objects | Language as Rule System
kuczynski | Social conventions select among pre-existing semantic rules; they don't create them | Convention and Rules
kuczynski | The semantic rule for "Socrates" has always existed; it existed before English | Eternality of Semantic Rules
kuczynski | Mathematical functions assigning meanings to expressions exist eternally, independent of actual languages | Eternal Semantic Rules
kuczynski | The function-theoretic view of semantic rules is false because semantic rules are conventional, not eternal | Critique of Function-Theoretic View
kuczynski | The sentence "John wants to catch a 20-pound striped bass" is not about any particular fish | Analysis of Intentional Sentences
kuczynski | "John wants to catch a fish" attributes to John a desire that the property of being a caught fish be instantiated | Analysis of Wanting
kuczynski | Even perfectly understood sentences may have recondite literal meanings requiring semantic analysis | Surface vs Deep Meaning
kuczynski | "Smart" may be implicitly relational: "Fido is smart" means Fido is smarter than most dogs | Analysis of Gradable Adjectives
kuczynski | What is literally meant may differ from what the speaker wishes to convey | Literal vs Conveyed Meaning
kuczynski | Two utterances can have the same literal meaning even though the speaker doesn't know it | Unknown Synonymy
kuczynski | Literal meaning can be cloaked by the perceptual information through which it is grasped | Perceptual Cloaking of Meaning
kuczynski | Frege's sense/reference distinction makes sense and reference two different properties of expressions | Frege's Distinction
kuczynski | According to Frege, coreferring expressions can have different senses | Sense vs Reference
kuczynski | Frege's theory of indirect reference (expressions in belief contexts refer to their senses) is ad hoc | Critique of Indirect Reference
kuczynski | If Frege is right, "snow" in "Fred believes snow is white" doesn't refer to snow | Consequence of Frege's View
kuczynski | For "Socrates" to refer to Socrates is for "Socrates has phi" to attribute phi to Socrates | Reference and Predication
kuczynski | Reference is to be analyzed in terms of truth-conditional contribution | Reference as Truth-Conditional
kuczynski | The slingshot argument's premises are true only if definite descriptions are read attributively (as quantifiers) | Analysis of Slingshot
kuczynski | When definite descriptions are read attributively, they are quantifiers, not referring terms | Descriptions as Quantifiers
kuczynski | Intersubstituting co-referring terms preserves truth-value; this premise of the slingshot requires referential readings | Referential vs Attributive
kuczynski | Logically equivalent sentences can have different truth-conditional properties | Non-Equivalence of Logical Equivalents
kuczynski | True sentences do not all refer to the True; sentences express propositions, not truth-values | Sentences and Propositions
kuczynski | We don't think in natural languages like English; thought is prior to language | Thought Prior to Language
kuczynski | We can have thoughts we cannot put into words; this shows thought is not identical with language | Inexpressible Thoughts
kuczynski | Putting thoughts into words sometimes requires great effort, showing thinking is prior to language | Effort in Expression
kuczynski | Different sentences ("Bob loves Mary" and "Mary is loved by Bob") can express the same thought | Same Thought, Different Sentences
kuczynski | If we thought in English, we couldn't disambiguate English sentences | Disambiguation Argument
kuczynski | Speakers of different languages can have the same thoughts; thought is universal | Universality of Thought
kuczynski | Understanding a sentence is different from its flashing through your mind | Understanding vs Occurrence
kuczynski | The language of thought hypothesis faces a vicious circle: understanding presupposes thought | Circle in LOT
kuczynski | If sentences of an innate code are not understood, they aren't functioning as sentences | Sentences Must Be Understood
kuczynski | We often think in images, but images are not identical with our ratiocinative activities | Images vs Reasoning
kuczynski | Mental icons need only be differentiated enough to not be confused with icons for other concepts | Function of Mental Icons
kuczynski | No matter how conceptually impoverished a creature is, little follows about what images can go through its head | Images and Concepts
kuczynski | Everything constitutive of consciousness seems phenomenologically pregnant, unlike thoughts | Phenomenology of Consciousness
kuczynski | Wittgenstein wrongly concluded that thinking isn't private; what follows is that thoughts aren't phenomenologically pregnant | Critique of Wittgenstein
kuczynski | The sensations and images passing through one's mind when thinking do not constitute that thought | Images Don't Constitute Thought
kuczynski | Mental imagery facilitates thought by allowing management of otherwise uncontrollable ratiocinative activity | Imagery Facilitates Thought
kuczynski | Consciousness pools otherwise discrete bodies of knowledge by integrating isolated cognitive streams | Integrative Consciousness
kuczynski | Language provides a rich system of icons for managing cognitive activities | Language as Cognitive Tool
kuczynski | There cannot be a private language in the sense that Wittgenstein meant is false | Rejection of Private Language Argument
kuczynski | Wittgenstein's view that thinking is manipulating expressions contradicts the fact that thinking is prerequisite for language | Critique of Wittgenstein
kuczynski | The Private Language Argument assumes that rule-following requires public checkability; this is false | Critique of PLA
kuczynski | Following a rule is a psychological act contrary to what Wittgenstein claimed | Rule Following as Psychological
kuczynski | Your belief that 1+1=2 isn't an image or sensation; deploying it isn't experiencing images | Beliefs Not Phenomenal
kuczynski | Hume introspected and found only sensations, wrongly concluding there's nothing more to mind | Critique of Hume's Introspection
kuczynski | Not all knowledge of one's mind is quasi-perceptual; I know I believe 1+1=2 without phenomenal experience | Non-Perceptual Self-Knowledge
kuczynski | External world skepticism is incoherent: for thoughts to be wrong about X, they must be about X | Refutation of Skepticism
kuczynski | Thoughts about X cannot be systematically wrong about X; their content determines what they're about | Content and Accuracy
kuczynski | The skeptic's hypothesis presupposes what it denies: that our thoughts reach the world | Self-Refutation of Skepticism
kuczynski | If our thoughts were not about the external world, they couldn't be systematically mistaken about it | Intentionality Refutes Skepticism
kuczynski | Hume's induction argument assumes enumerative induction is the primary form of non-deductive inference | Critique of Hume on Induction
kuczynski | Inference to best explanation is more fundamental than enumerative induction | Priority of IBE
kuczynski | All legitimate cases of enumerative induction are parasitic on inference to best explanation | Reduction to IBE
kuczynski | The uniformity principle (UP) cannot validate induction without circularity; a different principle is needed | Problem with UP
kuczynski | MC (minimize causal anomalies) is analytically true; UP is not | Analyticity of MC
kuczynski | Because MC is analytic, using it to validate induction is not viciously circular | Non-Circular Validation
kuczynski | Pure enumerative induction (without positing mechanisms) is the gambler's fallacy | Gambler's Fallacy
kuczynski | Past outcomes give reason to expect future outcomes only if they suggest underlying mechanisms | Mechanism Requirement
kuczynski | If you know nothing about a setup favors an outcome, no run of that outcome gives reason to expect it again | Independence of Trials
kuczynski | Positing a mechanism that explains a pattern makes it rational to expect the pattern to continue | Mechanisms and Expectation
kuczynski | Hume's argument assumes the legitimacy of the gambler's fallacy | Critique of Hume
kuczynski | The purpose of explanation is to reduce what must be taken for granted | Purpose of Explanation
kuczynski | Better explanations leave fewer unexplained explainers | Criterion for Good Explanation
kuczynski | Explanation consists in eliminating discontinuities | Explanation as Continuity
kuczynski | A hypothesis that replaces observed discontinuities with unobserved ones is inferior | Criterion for Hypotheses
kuczynski | Theoretical discontinuities (unprecedented law-violations) are as problematic as spatiotemporal ones | Types of Discontinuity
kuczynski | Probability is relational: it describes bearing between evidence and hypothesis | Relational Probability
kuczynski | The same statement can be probable relative to one body of evidence and improbable relative to another | Evidence-Relativity
kuczynski | An omniscient being would never use probability statements | Probability and Ignorance
kuczynski | The degree to which evidence confirms a hypothesis is mind-independent | Objectivity of Confirmation
kuczynski | Being more worthy of belief than its negation doesn't make something worthy of belief | Probability vs Belief
kuczynski | Mind affects body; anything that affects the physical is physical | Argument for Materialism
kuczynski | Our experiences seem utterly unlike brain states | Phenomenal Argument for Dualism
kuczynski | If experiences are brain states, we experience them as different from how they are; but we can't experience experiences | Puzzle of Qualia
kuczynski | Dual aspect theory requires something neither mental nor physical; this is incoherent | Critique of Dual Aspect
kuczynski | Eliminativism is a "hideous monstrosity"; of course pains exist | Rejection of Eliminativism
kuczynski | Behaviorism falsely reduces mental states to behavioral dispositions | Critique of Behaviorism
kuczynski | How you respond depends on background mental states, not just input | Role of Background States
kuczynski | Functionalism says being a pain is having certain causes and effects; but pains are what they feel like | Critique of Functionalism
kuczynski | A pain's causal role is a consequence of being a pain, not constitutive of it | Against Functional Constitution
kuczynski | No two people's beliefs have exactly the same causal roles; functionalism can't account for shared content | Problem of Shared Content
kuczynski | If being a belief that P = causing certain behaviors, then the belief can't cause those behaviors | Functionalism and Causation
kuczynski | Functionalism strips mental states of causal powers; this contradicts obvious facts | Epiphenomenalism Problem
kuczynski | Materialism is probably correct, but mental truths resist reduction to physical truths | Irreducible Materialism
kuczynski | A thing is a prediction-enabling complex of events | Definition of Thing
kuczynski | Thinghood comes in degrees; some things provide broader prediction bases than others | Degrees of Thinghood
kuczynski | Dynamic integrity (maintaining prediction-enabling structure over time) is the essence of thinghood | Essence of Thinghood
kuczynski | An event-complex that is predictively inert is a non-thing to that extent | Non-Things
kuczynski | Prediction and explanation are conjugates; explanation goes from effect to cause, prediction from cause to effect | Conjugate Relation
kuczynski | Stars are as thingy as rocks despite being gaseous; solidity is not required for thinghood | Thinghood vs Solidity
kuczynski | Thinghood is relative to explanatory context; a galaxy can be thing-like for large-scale astronomy | Contextual Thinghood
kuczynski | Things are not created by our explanations; a system can be thing-like in some contexts and not others | Mind-Independence of Things
kuczynski | Objects are causal series; numerical identity requires causal continuity between stages | Persistence as Causal Series
kuczynski | If a causal series is severed, the object ceases to exist | Causal Continuity Requirement
kuczynski | An exact duplicate not causally continuous with the original is not numerically identical | Duplication vs Identity
kuczynski | Discontinuous time travel is logically false; gaps in causal series mean annihilation and creation | Against Time Travel
kuczynski | Backward time travel is logically impossible | Against Backward Time Travel
kuczynski | Fast-forward time travel collapses into ordinary existence during the interval | Against Fast-Forward Time Travel
kuczynski | Propositional attitudes don't appear in consciousness directly; only their manifestations do | Indirect Access to Attitudes
kuczynski | We make judgments about our attitudes based on dispersed, multifarious evidence | Self-Knowledge as Inference
kuczynski | We often misjudge our attitudes; self-knowledge is fallible | Fallible Self-Knowledge
kuczynski | Having an attitude differs from knowing one has it | Having vs Knowing
kuczynski | Repression is failure to verify suspicions, not active suppression of known content | Repression Analyzed
kuczynski | The conventional view that we drive content into unconsciousness is paradoxical | Critique of Repression Theory
kuczynski | To keep P out of consciousness, one must know what P is; but then P is conscious | Paradox of Repression
kuczynski | Repression is choosing not to learn what, if learned, we'd wish we hadn't | Nature of Repression
kuczynski | The conflict in repression is between wanting to know and not wanting to know | Repression Conflict
kuczynski | Sociopaths don't lack moral sense; they systematically misidentify their motives | Sociopathy vs Amorality
kuczynski | Psychopaths never developed a self; sociopaths' selves are fragmenting | Psychopath vs Sociopath
kuczynski | One can be evil while knowing what one is; evil differs from sociopathy and psychopathy | Evil vs Pathology
kuczynski | Actions involve inhibition and scrutiny of desires; reactions are direct conversions of desires to behavior | Action vs Reaction
kuczynski | Even seemingly impulsive acts involve decisions to lift inhibitions | Impulsivity Analyzed
kuczynski | Davidson's view that intentions are strongest desires is wrong; intentions are judgments | Intention vs Desire
kuczynski | If Davidson were right, we'd never act, only react | Critique of Davidson
kuczynski | Values are not desires; they are judgments about extending self-hegemony over sub-agential activity | Values Analyzed
kuczynski | Intrinsic desire strength differs from organization-dependent strength | Two Kinds of Strength
kuczynski | A strong desire outside one's psychological organization is less likely to cause action than a weak embedded one | Organization and Action
kuczynski | EE is the only ethical theory that doesn't damage or fraudulentize adherents | Defense of EE
kuczynski | Other ethical theories require putting others' interests first, which is psychologically unsustainable | Critique of Altruism
kuczynski | EE doesn't require predation; kindness can be authentic | EE and Kindness
